년,월,국적지역,단기체류외국인 수
2022,4,시에라리온,12
2022,4,카타르,12
2022,4,키프로스,12
2022,4,몰타,11
2022,4,미등록국가,11
2022,4,베냉,11
2022,4,팔레스타인,11
2022,4,니카라과,10
2022,4,모리셔스,10
2022,4,미이크로네시아,10
2022,4,볼리비아,10
2022,4,잠비아,10
2022,4,쿠웨이트,10
2022,4,엘살바도르,9
2022,4,영국외지민,9
2022,4,기니,8
2022,4,룩셈부르크,8
2022,4,파푸아뉴기니,8
2022,4,팔라우,8
2022,4,말라위,7
2022,4,몰도바,7
2022,4,부르키나파소,7
2022,4,에스와티니,7
2022,4,자이르,7
2022,4,도미니카연방,6
2022,4,아이슬란드,6
2022,4,토고,6
2022,4,트리니다드토바고,6
2022,4,감비아,5
2022,4,마다가스카르,5
2022,4,모잠비크,5
2022,4,사모아,5
2022,4,모리타니,4
2022,4,바누아투,4
2022,4,벨리즈,4
2022,4,세인트크리스토퍼네비스,4
2022,4,수리남,4
2022,4,중앙아프리카공화국,4
2022,4,코모로,4
2022,4,코소보,4
2022,4,통가,4
2022,4,기니비사우,3
2022,4,나우루,3
2022,4,바베이도스,3
2022,4,보스니아헤르체고비나,3
2022,4,소말리아,3
2022,4,안도라,3
2022,4,지부티,3
2022,4,니제르,2
2022,4,레소토,2
2022,4,바레인,2
2022,4,바하마,2
2022,4,보츠와나,2
2022,4,상투메프린시페,2
2022,4,솔로몬군도,2
2022,4,에리트레아,2
2022,4,적도기니,2
2022,4,미상,1
2022,4,가이아나,1
2022,4,교황청,1
2022,4,그레나다,1
2022,4,몬테네그로,1
2022,4,몰디브,1
2022,4,부탄,1
2022,4,북마케도니아,1
2022,4,산마리노,1
2022,4,세르비아몬테네그로,1
2022,4,세이셸,1
2022,4,스발바르,1
2022,4,아르메니아,1
2022,4,유고슬라비아,1
2022,4,카보베르데,1
2022,4,쿠바,1
2022,4,키리바시,1
2022,5,가나,288
2022,5,가봉,13
2022,5,가이아나,2
2022,5,감비아,5
2022,5,과테말라,58
2022,5,국적불명,1
2022,5,국제연합,24
2022,5,그레나다,3
2022,5,그리스,129
2022,5,기니,10
2022,5,기니비사우,5
2022,5,나미비아,1
2022,5,나우루,4
2022,5,나이지리아,396
2022,5,남아프리카공화국,241
2022,5,네덜란드,560
2022,5,네팔,2274
2022,5,노르웨이,166
2022,5,뉴질랜드,931
2022,5,니제르,2
2022,5,니카라과,13
2022,5,덴마크,213
2022,5,도미니카공화국,49
2022,5,도미니카연방,6
2022,5,독일,2046
2022,5,라오스,895
2022,5,라이베리아,52
2022,5,라트비아,40
2022,5,러시아연방,9757
2022,5,레바논,14
2022,5,레소토,10
2022,5,루마니아,142
2022,5,룩셈부르크,11
2022,5,르완다,17
2022,5,리비아,185
2022,5,리투아니아,47
2022,5,마다가스카르,3
2022,5,마샬군도,15
2022,5,마카오,28
2022,5,말라위,7
2022,5,말레이시아,2230
2022,5,말리,26
2022,5,멕시코,364
2022,5,모로코,218
2022,5,모리셔스,15
2022,5,모리타니,4
2022,5,모잠비크,4
2022,5,몬테네그로,7
2022,5,몰도바,6
2022,5,몰타,15
2022,5,몽골,12927
2022,5,무국적,40
2022,5,미국,85891
2022,5,미등록국가,13
2022,5,미얀마,1741
2022,5,미이크로네시아,10
2022,5,바누아투,1
2022,5,바레인,5
2022,5,바베이도스,2
2022,5,바하마,1
2022,5,방글라데시,3637
2022,5,베냉,11
2022,5,베네수엘라,50
2022,5,베트남,30113
2022,5,벨기에,198
2022,5,벨로루시,28
2022,5,벨리즈,3
2022,5,보스니아헤르체고비나,5
2022,5,보츠와나,5
2022,5,볼리비아,11
2022,5,부룬디,6
2022,5,부르키나파소,7
2022,5,부탄,4
2022,5,북마케도니아,1
2022,5,불가리아,44
2022,5,브라질,692
2022,5,브루나이,13
2022,5,사모아,5
2022,5,사우디아라비아,215
2022,5,산마리노,1
2022,5,상투메프린시페,2
2022,5,세네갈,22
2022,5,세르비아,19
2022,5,세르비아몬테네그로,1
2022,5,세이셸,1
2022,5,세인트루시아,2
2022,5,세인트크리스토퍼네비스,3
2022,5,소말리아,3
2022,5,수단,32
2022,5,수리남,4
2022,5,스리랑카,1296
2022,5,스발바르,1
2022,5,스웨덴,316
2022,5,스위스,320
2022,5,스페인,440
2022,5,슬로바크,41
2022,5,슬로베니아,18
2022,5,시리아,34
2022,5,시에라리온,20
2022,5,싱가포르,2278
2022,5,아랍에미리트연합,267
2022,5,아르메니아,1
2022,5,아르헨티나,269
2022,5,아이슬란드,2
2022,5,아이티,153
2022,5,아일랜드,131
2022,5,아제르바이잔,40
2022,5,아프가니스탄,48
2022,5,안도라,2
2022,5,알바니아,27
2022,5,알제리,56
2022,5,앙골라,13
2022,5,에리트레아,2
2022,5,에스와티니,7
2022,5,에스토니아,24
2022,5,에콰도르,81
2022,5,에티오피아,54
2022,5,엘살바도르,6
2022,5,영국,1764
2022,5,영국외지민,10
2022,5,예멘공화국,37
2022,5,오만,34
2022,5,오스트레일리아,3312
2022,5,오스트리아,210
2022,5,온두라스,30
2022,5,요르단,84
2022,5,우간다,37
2022,5,우루과이,18
2022,5,우즈베키스탄,4960
2022,5,우크라이나,370
2022,5,유고슬라비아,1
2022,5,이라크,186
2022,5,이란,769
2022,5,이스라엘,173
2022,5,이집트,356
2022,5,이탈리아,482
2022,5,인도,1970
2022,5,인도네시아,3706
2022,5,일본,3819
2022,5,자메이카,23
2022,5,자이르,7
2022,5,잠비아,13
2022,5,적도기니,5
2022,5,조지아,15
2022,5,중국,52547
2022,5,중앙아프리카공화국,7
2022,5,지부티,3
2022,5,짐바브웨,22
2022,5,체코,74
2022,5,칠레,95
2022,5,카메룬,42
2022,5,카보베르데,1
2022,5,카자흐스탄,9586
2022,5,카타르,27
2022,5,캄보디아,1569
2022,5,캐나다,5157
2022,5,케냐,27
2022,5,코소보,2
2022,5,코스타리카,37
2022,5,코트디부아르,41
2022,5,콜롬비아,168
2022,5,콩고,13
2022,5,콩고민주공화국,19
2022,5,쿠바,2
2022,5,쿠웨이트,35
2022,5,크로아티아,38
2022,5,키르기즈,662
2022,5,키리바시,1
2022,5,키프로스,12
2022,5,태국,142316
2022,5,타이완,1033
2022,5,타지키스탄,511
2022,5,탄자니아,31
2022,5,터키,1668
2022,5,토고,7
2022,5,통가,4
2022,5,투르크메니스탄,18
2022,5,튀니지,75
2022,5,트리니다드토바고,7
2022,5,티모르민주공화국,215
2022,5,파나마,14
2022,5,파라과이,119
2022,5,파키스탄,2225
2022,5,파푸아뉴기니,8
2022,5,팔라우,8
2022,5,팔레스타인,8
2022,5,페루,340
2022,5,포르투갈,105
2022,5,폴란드,265
2022,5,프랑스,2115
2022,5,피지,18
2022,5,핀란드,126
2022,5,필리핀,10630
2022,5,한국계중국인,6182
2022,5,헝가리,78
2022,5,홍콩,506
2022,5,홍콩거주난민,13
2022,6,태국,149488
2022,6,미국,94686
2022,6,중국,53817
2022,6,베트남,33984
2022,6,몽골,14338
2022,6,카자흐스탄,12037
2022,6,필리핀,10926
2022,6,러시아(연방),10440
2022,6,한국계중국인,6437
2022,6,캐나다,5773
2022,6,우즈베키스탄,5544
2022,6,인도네시아,4967
2022,6,일본,4456
2022,6,오스트레일리아,3680
2022,6,방글라데시,3642
2022,6,네팔,3345
2022,6,싱가포르,2932
2022,6,말레이시아,2525
2022,6,인도,2422
2022,6,파키스탄,2417
2022,6,독일,2171
2022,6,튀르키예,2096
2022,6,프랑스,2092
2022,6,캄보디아,1971
2022,6,영국,1965
2022,6,미얀마,1734
2022,6,스리랑카,1697
2022,6,타이완,1196
2022,6,뉴질랜드,1027
2022,6,라오스,844
2022,6,키르기즈,774
2022,6,이란,755
2022,6,홍콩,741
2022,6,브라질,711
2022,6,네덜란드,637
2022,6,이탈리아,573
2022,6,멕시코,533
2022,6,타지키스탄,511
2022,6,스웨덴,458
2022,6,스페인,445
2022,6,나이지리아,381
2022,6,이집트,365
2022,6,아랍에미리트연합,360
2022,6,우크라이나,358
2022,6,페루,352
2022,6,스위스,349
2022,6,폴란드,342
2022,6,가나,311
2022,6,사우디아라비아,292
2022,6,벨기에,263
2022,6,모로코,261
2022,6,노르웨이,256
2022,6,아르헨티나,256
2022,6,티모르민주공화국,253
2022,6,덴마크,246
2022,6,남아프리카공화국,217
2022,6,이라크,187
2022,6,콜롬비아,187
2022,6,이스라엘,181
2022,6,핀란드,179
2022,6,아일랜드,170
2022,6,오스트리아,159
2022,6,리비아,143
2022,6,아이티,139
2022,6,체코,131
2022,6,파라과이,125
2022,6,루마니아,116
2022,6,요르단,116
2022,6,그리스,114
2022,6,칠레,110
2022,6,포르투갈,97
2022,6,헝가리,96
2022,6,리투아니아,76
2022,6,에콰도르,73
2022,6,슬로바크,72
2022,6,튀니지,69
2022,6,불가리아,65
2022,6,코트디부아르,64
2022,6,에티오피아,62
2022,6,시리아,60
2022,6,아프가니스탄,60
2022,6,크로아티아,60
2022,6,베네수엘라,58
2022,6,라이베리아,55
2022,6,과테말라,52
2022,6,조지아,52
2022,6,코스타리카,51
2022,6,알제리,48
2022,6,케냐,48
2022,6,오만,44
2022,6,쿠웨이트,42
2022,6,우간다,41
2022,6,카메룬,41
2022,6,카타르,40
2022,6,도미니카공화국,37
2022,6,무국적,36
2022,6,온두라스,35
